coin_id,symbol,coin_name,current_price,market_cap,total_volume,last_updated,load_timestamp
bitcoin,btc,Bitcoin,71445.0,1431515524364,44306873342,2026-06-01T17:25:42.183Z,2026-06-01 20:25:45.409853
ethereum,eth,Ethereum,1982.68,239214108822,16144454565,2026-06-01T17:25:43.886Z,2026-06-01 20:25:45.409853
tether,usdt,Tether,0.998571,187971731364,71255876214,2026-06-01T17:25:44.583Z,2026-06-01 20:25:45.409853
binancecoin,bnb,BNB,684.27,92230351265,2769185758,2026-06-01T17:25:41.897Z,2026-06-01 20:25:45.409853
ripple,xrp,XRP,1.3,80311561032,1798707091,2026-06-01T17:25:45.159Z,2026-06-01 20:25:45.409853
usd-coin,usdc,USDC,0.999713,75875979927,15105886573,2026-06-01T17:25:39.399Z,2026-06-01 20:25:45.409853
solana,sol,Solana,80.44,46526639249,2434832933,2026-06-01T17:25:45.290Z,2026-06-01 20:25:45.409853
tron,trx,TRON,0.345678,32798706469,518934381,2026-06-01T17:25:42.396Z,2026-06-01 20:25:45.409853
figure-heloc,figr_heloc,Figure Heloc,1.044,19086489490,65093344,2026-06-01T17:25:32.450Z,2026-06-01 20:25:45.409853
hyperliquid,hype,Hyperliquid,72.64,16182004314,2012111666,2026-06-01T17:25:31.265Z,2026-06-01 20:25:45.409853
dogecoin,doge,Dogecoin,0.099548,15377967293,889433734,2026-06-01T17:25:31.176Z,2026-06-01 20:25:45.409853
usds,usds,USDS,1.0,11034302320,35145225,2026-06-01T17:25:45.146Z,2026-06-01 20:25:45.409853
leo-token,leo,LEO Token,9.94,9177731173,753015,2026-06-01T17:25:40.725Z,2026-06-01 20:25:45.409853
zcash,zec,Zcash,540.67,9023080101,729466742,2026-06-01T17:25:45.352Z,2026-06-01 20:25:45.409853
stellar,xlm,Stellar,0.254832,8585138791,1336221074,2026-06-01T17:25:41.915Z,2026-06-01 20:25:45.409853
cardano,ada,Cardano,0.230023,8544654296,433093085,2026-06-01T17:25:34.767Z,2026-06-01 20:25:45.409853
rain,rain,Rain,0.01363997,8492448897,54656095,2026-06-01T17:25:32.646Z,2026-06-01 20:25:45.409853
monero,xmr,Monero,358.75,6729888485,149289108,2026-06-01T17:25:32.843Z,2026-06-01 20:25:45.409853
chainlink,link,Chainlink,8.99,6542005372,255496227,2026-06-01T17:25:44.869Z,2026-06-01 20:25:45.409853
whitebit,wbt,WhiteBIT Coin,52.46,6208404615,91480944,2026-06-01T17:25:43.525Z,2026-06-01 20:25:45.409853
